Mitgliedsnummer,"Bewegungsart (Z,Ü,K)",Datum,Anzahl Anteile,Wert Anteile,Übertragungspartner,Wirkung Kündigung
284,Ü,2021-04-01,-10,-500,137,
284,Ü,2021-04-01,-20,-1000,220,
284,Ü,2021-04-01,-20,-1000,171,
284,Ü,2021-04-01,-20,-1000,177,
284,Ü,2021-04-15,-20,-1000,18,
284,Ü,2021-05-06,-21,-1050,174,
177,Ü,2021-04-01,20,1000,284,
294,Ü,2018-12-02,-3,-150,381,
328,Ü,2019-05-02,-25,-1250,425,
328,Ü,2019-05-21,-4,-200,431,
328,Ü,2019-05-21,-3,-150,432,
328,Ü,2020-03-12,-8,-400,499,
328,Ü,2021-11-04,-2,-100,433,
381,Ü,2018-12-02,3,150,294,
425,Ü,2019-05-02,25,1250,328,
425,Ü,2020-09-16,-5,-250,531,
431,Ü,2019-05-21,4,200,328,
432,Ü,2019-05-21,3,150,328,
433,Ü,2021-11-04,2,100,328,
455,Ü,2019-07-23,2,100,368,
368,Ü,2019-07-23,-2,-100,455,
469,Ü,2022-08-18,8,400,516,
487,Ü,2020-01-15,2,100,14,
14,Ü,2020-01-15,-2,-100,487,
515,Ü,2020-06-15,5,250,17,
17,Ü,2020-06-15,-5,-250,515,
531,Ü,2020-09-16,5,250,425,
532,Ü,2020-09-16,2,100,301,
301,Ü,2020-09-16,-2,-100,532,
542,Ü,2020-10-22,10,500,89,
560,Ü,2021-04-01,57,2850,284,
560,Ü,2020-08-18,-10,-500,137,
560,Ü,2020-08-18,-8,-400,469,
560,Ü,2022-09-29,-20,-1000,78,
574,Ü,2021-04-30,3,150,480,
480,Ü,2021-04-30,-3,-150,574,
621,Ü,2021-12-02,4,200,389,
389,Ü,2021-12-02,-4,-200,621,
626,Ü,2022-02-04,4,200,536,
536,Ü,2022-02-04,-4,-200,626,
627,Ü,2022-02-04,3,150,443,
443,Ü,2022-02-04,-3,-150,627,
637,Ü,2022-04-05,2,100,229,
656,Ü,2022-08-26,2,100,462,
462,Ü,2022-08-26,-2,-100,656,
657,Ü,2022-08-26,2,100,333,
333,Ü,2022-08-26,-2,-100,657,
659,Ü,2022-09-02,8,400,499,
499,Ü,2022-09-02,-8,-400,659,
282,Ü,2020-10-12,-4,-200,536,
536,Ü,2020-10-12,4,200,282,
177,Ü,2022-06-16,-26,-1300,171,
4,Z,2017-03-10,20,"1,000",,
4,K,2018-06-05,-20,"-1,000",,2019-12-31
22,Z,2017-03-10,6,300,,
22,K,2019-03-18,-6,-300,,2020-12-31
44,Z,2017-03-10,4,200,,
44,K,2021-01-29,-4,-200,,2022-12-31
50,Z,2017-03-10,4,200,,
50,K,2021-12-19,-4,-200,,2022-12-31
51,Z,2017-03-10,20,"1,000",,
51,K,2018-12-27,-20,"-1,000",,2019-12-31
79,Z,2017-03-10,4,200,,
79,K,2018-09-07,-4,-200,,2019-12-31
80,Z,2017-03-10,4,200,,
80,K,2018-09-07,-4,-200,,2019-12-31
108,Z,2017-06-14,3,150,,
108,Z,2017-12-18,1,50,,
108,K,2018-11-23,-4,-200,,2019-12-31
128,Z,2017-06-14,2,100,,
128,K,2018-11-30,-2,-100,,2019-12-31
133,Z,2017-06-14,2,100,,
133,K,2019-04-11,-2,-100,,2020-12-31
166,Z,2017-06-14,3,150,,
166,K,2020-02-11,-3,-150,,2021-12-31
169,Z,2017-06-14,3,150,,
169,K,2019-12-18,-3,-150,,2020-12-31
173,Z,2017-07-05,4,200,,
173,K,2021-06-03,-4,-200,,2022-12-31
179,Z,2017-07-12,16,800,,
179,K,2021-11-06,-16,-800,,2022-12-31
185,Z,2017-07-19,20,"1,000",,
185,K,2019-02-07,-20,"-1,000",,2020-12-31
219,Z,2017-09-14,2,100,,
219,K,2021-12-03,-2,-100,,2022-12-31
224,Z,2017-09-28,20,"1,000",,
224,K,2019-11-18,-20,"-1,000",,2020-12-31
248,Z,2017-11-09,4,200,,
248,K,2020-09-27,-4,-200,,2021-12-31
274,Z,2017-12-18,2,100,,
274,K,2021-04-11,-2,-100,,2022-12-31
276,Z,2017-12-27,2,100,,
276,Z,2018-01-03,1,50,,
276,K,2019-02-13,-3,-150,,2020-12-31
283,Z,2018-01-19,2,100,,
283,K,2018-11-27,-2,-100,,2019-12-31
290,Z,2018-02-09,2,100,,
290,K,2018-12-31,-2,-100,,2019-12-31
295,Z,2018-02-17,4,200,,
295,K,2019-03-03,-4,-200,,2020-12-31
298,Z,2018-02-26,16,800,,
298,K,2021-03-20,-16,-800,,2022-12-31
303,Z,2018-03-05,4,200,,
303,K,2021-12-22,-4,-200,,2022-12-31
304,Z,2018-03-05,3,150,,
304,K,2020-10-26,-3,-150,,2021-12-31
317,Z,2018-04-30,20,"1,000",,
317,K,2019-07-21,-20,"-1,000",,2020-12-31
322,Z,2018-05-23,3,150,,
322,K,2020-09-04,-3,-150,,2021-12-31
325,Z,2018-06-01,4,200,,
325,K,2020-12-27,-4,-200,,2021-12-31
326,Z,2018-06-01,4,200,,
326,K,2021-09-28,-4,-200,,2022-12-31
331,Z,2018-06-19,5,250,,
331,K,2019-02-06,-5,-250,,2020-12-31
346,Z,2018-08-21,5,250,,
346,K,2019-10-30,-5,-250,,2020-12-31
354,Z,2018-09-10,2,100,,
354,K,2020-06-30,-2,-100,,2021-12-31
355,Z,2018-09-12,2,100,,
355,K,2020-10-15,-2,-100,,2021-12-31
377,Z,2018-11-16,3,150,,
377,K,2019-03-25,-3,-150,,2020-12-31
380,Z,2018-11-16,2,100,,
380,Z,2018-12-04,1,50,,
380,K,2019-01-15,-3,-150,,2020-12-31
382,Z,2018-12-06,2,100,,
382,K,2019-06-11,-2,-100,,2020-12-31
385,Z,2018-12-18,2,100,,
385,K,2021-08-06,-2,-100,,2022-12-31
391,Z,2019-01-11,2,100,,
391,Z,2020-05-20,2,100,,
391,K,2021-10-06,-4,-200,,2022-12-31
395,Z,2019-02-07,2,100,,
395,K,2021-01-02,-2,-100,,2022-12-31
397,Z,2019-02-15,2,100,,
397,K,2020-06-18,-2,-100,,2021-12-31
417,Z,2019-04-10,3,150,,
417,K,2021-07-02,-3,-150,,2022-12-31
449,Z,2019-07-02,2,100,,
449,Z,2019-08-09,1,50,,
449,K,2021-12-13,-3,-150,,2022-12-31
456,Z,2019-07-23,2,100,,
456,Z,2019-08-20,1,50,,
456,K,2021-09-23,-3,-150,,2022-12-31
465,Z,2019-09-05,2,100,,
465,K,2020-02-11,-2,-100,,2021-12-31
467,Z,2019-09-12,2,100,,
467,K,2020-09-22,-2,-100,,2021-12-31
472,Z,2019-10-17,2,100,,
472,K,2020-06-12,-2,-100,,2021-12-31
482,Z,2019-11-21,5,250,,
482,K,2021-10-28,-5,-250,,2022-12-31
495,Z,2020-03-30,4,200,,
495,K,2020-11-01,-4,-200,,2021-12-31
497,Z,2020-04-16,3,150,,
497,K,2020-06-04,-3,-150,,2021-12-31
510,Z,2020-05-27,3,150,,
510,K,2021-11-08,-3,-150,,2022-12-31
511,Z,2020-05-27,4,200,,
511,Z,2020-06-30,1,50,,
511,K,2021-12-17,-5,-250,,2022-12-31
519,Z,2020-06-28,2,100,,
519,K,2021-12-26,-2,-100,,2022-12-31
545,Z,2020-11-13,2,100,,
545,K,2021-10-07,-2,-100,,2022-12-31
547,Z,2020-11-19,3,150,,
547,K,2021-12-05,-3,-150,,2022-12-31
569,Z,2021-03-26,3,150,,
569,K,2021-12-27,-3,-150,,2022-12-31
577,Z,2021-05-06,2,100,,
577,K,2021-12-13,-2,-100,,2022-12-31
584,Z,2021-06-08,2,100,,
584,K,2021-12-09,-2,-100,,2022-12-31
596,Z,2021-09-24,4,200,,
596,K,2021-11-04,-4,-200,,2022-12-31
14,Z,2017-03-10,2,100,,
368,Z,2018-10-11,2,100,,
17,Z,2017-03-10,4,200,,
17,Z,2019-03-01,1,50,,
282,Z,2018-01-17,4,200,,
301,Z,2018-02-28,2,100,,
301,Z,2020-09-16,2,100,,
480,Z,2019-11-08,3,150,,
389,Z,2019-01-03,4,200,,
536,Z,2020-10-12,4,200,,
443,Z,2019-06-19,2,100,,
443,Z,2019-06-20,1,50,,
177,Z,2017-07-12,6,300,,
462,Z,2019-08-20,2,100,,
333,Z,2018-06-19,2,100,,
